,Season,Sprinkler,Rain,Wet,Slippery
0,Spring,0,0,0,0
1,Summer,0,0,0,0
2,Summer,0,0,0,0
3,Spring,0,1,1,1
4,Summer,0,0,0,0
5,Spring,1,0,1,1
6,Summer,1,0,1,1
7,Spring,1,1,1,1
8,Summer,1,0,1,1
9,Summer,1,1,1,1
10,Summer,0,0,0,0
11,Spring,0,1,1,1
12,Spring,0,0,0,0
13,Summer,1,0,1,1
14,Spring,1,0,1,1
15,Summer,1,1,1,1
16,Spring,0,1,1,1
17,Spring,1,1,1,1
18,Summer,1,0,1,1
19,Spring,0,0,0,0
20,Summer,0,0,0,0
21,Spring,1,1,1,1
22,Spring,0,0,0,0
23,Spring,1,0,1,1
24,Spring,1,1,1,1
25,Spring,0,0,0,0
26,Spring,1,1,1,1
27,Summer,1,0,1,1
28,Summer,0,0,0,0
29,Spring,0,0,0,0
30,Spring,0,0,0,0
31,Summer,1,0,1,1
32,Summer,0,0,0,0
33,Summer,1,0,1,1
34,Spring,1,0,1,1
35,Spring,0,0,0,0
36,Spring,0,1,1,1
37,Summer,1,0,1,1
38,Summer,1,0,1,1
39,Summer,0,0,0,0
40,Spring,1,1,1,1
41,Spring,0,0,0,0
42,Summer,1,0,1,1
43,Spring,0,1,1,1
44,Summer,1,1,1,1
45,Spring,1,1,1,1
46,Summer,1,0,1,1
47,Summer,1,0,1,1
48,Spring,0,0,0,0
49,Spring,0,0,0,0
50,Spring,0,0,0,0
51,Spring,1,0,1,1
52,Spring,0,0,0,0
53,Spring,0,0,0,0
54,Spring,1,0,1,1
55,Spring,1,0,1,1
56,Summer,0,0,0,0
57,Summer,1,0,1,1
58,Spring,1,0,1,1
59,Summer,1,0,1,1
60,Spring,1,1,1,1
61,Spring,0,0,0,0
62,Spring,0,0,0,0
63,Spring,0,0,0,0
64,Summer,1,1,1,1
65,Spring,1,0,1,1
66,Summer,1,0,1,1
67,Summer,0,0,0,0
68,Spring,0,1,1,1
69,Summer,0,1,1,1
70,Spring,0,1,1,1
71,Spring,1,0,1,1
72,Summer,1,1,1,1
73,Summer,1,0,1,1
