,Season,Sprinkler,Rain,Wet,Slippery
0,Winter,0,1,1,1
1,Spring,0,1,1,1
2,Spring,0,1,1,1
3,Winter,0,1,1,1
4,Summer,0,0,0,0
5,Winter,0,0,0,0
6,Summer,1,1,1,0
7,Winter,0,0,0,0
8,Spring,0,1,1,1
9,Spring,0,0,0,0
10,Summer,1,0,1,1
11,Spring,0,1,1,1
12,Winter,0,1,1,1
13,Summer,1,0,1,1
14,Spring,0,0,0,0
15,Autumn,1,1,1,0
16,Summer,1,0,1,1
17,Autumn,1,0,1,1
18,Spring,0,1,1,1
19,Autumn,1,1,1,1
20,Summer,1,0,1,1
21,Autumn,0,1,1,1
22,Spring,0,1,1,1
23,Winter,0,0,0,0
24,Spring,0,0,0,0
25,Autumn,1,1,1,1
26,Spring,0,0,0,1
27,Summer,0,0,0,0
28,Autumn,1,1,1,1
29,Autumn,0,1,1,1
30,Spring,1,1,1,1
31,Winter,0,0,0,0
32,Winter,0,0,0,0
33,Summer,1,0,1,1
34,Summer,1,0,1,0
35,Winter,0,0,0,0
36,Autumn,0,1,1,1
37,Spring,1,1,1,1
38,Autumn,1,1,1,1
39,Summer,0,1,1,1
40,Summer,1,0,1,1
41,Summer,1,0,1,1
42,Winter,0,0,0,0
43,Winter,0,1,1,1
44,Summer,1,0,1,1
45,Autumn,0,0,0,0
46,Summer,1,0,1,0
47,Summer,1,1,1,1
48,Spring,1,1,1,1
49,Spring,1,0,1,1
50,Summer,0,0,0,0
51,Spring,1,0,1,1
52,Spring,1,1,1,1
53,Summer,1,0,1,1
54,Winter,0,0,0,0
55,Winter,0,1,1,1
56,Autumn,0,1,1,1
57,Summer,0,1,1,1
58,Spring,1,1,1,1
59,Autumn,0,1,1,1
60,Winter,0,0,0,0
61,Winter,0,1,1,1
62,Autumn,0,0,0,0
63,Summer,1,0,1,1
64,Summer,1,0,1,0
65,Summer,1,0,1,1
66,Winter,0,0,0,0
67,Spring,1,1,1,1
68,Spring,0,0,0,0
69,Summer,1,0,1,1
70,Winter,0,0,0,1
71,Spring,0,1,1,1
72,Autumn,1,1,1,1
73,Spring,1,0,1,1
74,Spring,1,1,1,1
75,Summer,1,0,1,1
76,Winter,0,1,1,1
77,Summer,1,1,1,1
78,Autumn,0,0,0,0
79,Winter,0,0,0,0
80,Spring,1,1,1,1
81,Spring,0,1,1,1
82,Summer,0,0,0,0
83,Winter,0,1,1,1
84,Autumn,1,0,1,0
85,Winter,0,0,0,0
86,Winter,0,0,0,0
87,Autumn,0,1,1,1
88,Summer,1,0,1,1
89,Spring,1,0,1,1
90,Autumn,0,0,0,0
91,Summer,0,0,0,0
92,Winter,0,0,0,0
93,Winter,0,0,0,0
94,Autumn,0,1,1,1
95,Winter,0,1,1,1
96,Summer,1,0,1,1
97,Spring,0,1,1,1
98,Winter,0,0,0,1
99,Summer,0,0,0,0
100,Summer,0,1,1,1
101,Winter,0,0,0,1
102,Autumn,0,0,0,0
103,Spring,0,0,0,0
104,Spring,1,1,1,1
105,Autumn,0,1,1,1
106,Autumn,0,1,1,1
107,Winter,0,0,0,0
108,Winter,0,1,1,1
109,Winter,0,0,0,0
110,Winter,0,0,0,0
111,Summer,1,1,1,1
112,Winter,0,0,0,0
113,Winter,0,0,0,0
114,Spring,0,1,1,1
115,Autumn,0,1,1,1
116,Autumn,0,0,0,1
117,Autumn,0,0,0,1
118,Spring,0,1,1,1
119,Spring,0,1,1,1
120,Winter,0,1,1,0
121,Winter,0,0,0,0
122,Summer,1,0,1,1
123,Summer,1,0,1,1
124,Summer,1,0,1,1
125,Winter,0,1,1,1
126,Spring,0,1,1,1
127,Spring,1,1,1,1
128,Summer,1,1,1,0
129,Summer,0,0,0,0
130,Autumn,0,0,0,0
131,Spring,1,0,1,1
132,Summer,0,1,1,0
133,Autumn,1,0,1,1
134,Autumn,0,1,1,1
135,Spring,0,1,1,1
136,Winter,0,1,1,1
137,Summer,1,0,1,1
138,Winter,0,0,0,0
139,Winter,0,1,1,1
140,Summer,0,0,0,0
141,Spring,1,1,1,1
142,Winter,0,1,1,1
143,Spring,0,1,1,1
144,Winter,0,1,1,1
145,Spring,0,0,0,0
146,Autumn,1,1,1,1
147,Spring,0,0,0,0
148,Winter,0,0,0,1
149,Winter,0,0,0,0
150,Summer,1,0,1,1
151,Spring,0,0,0,0
152,Summer,0,1,1,1
153,Spring,1,0,1,1
154,Spring,0,1,1,1
155,Autumn,1,0,1,1
156,Spring,1,1,1,1
157,Summer,1,1,1,1
158,Autumn,0,0,0,0
159,Winter,0,0,0,0
160,Spring,0,1,1,1
161,Summer,1,0,1,0
162,Winter,0,0,0,0
163,Summer,1,0,1,1
164,Spring,0,0,0,0
165,Autumn,0,1,1,1
166,Spring,0,1,1,1
167,Spring,0,0,0,0
168,Spring,1,1,1,1
169,Spring,0,1,1,1
170,Summer,1,0,1,1
171,Autumn,1,1,1,1
172,Spring,0,1,1,1
173,Summer,1,0,1,1
174,Spring,0,0,0,0
175,Autumn,0,1,1,1
176,Winter,0,0,0,0
177,Summer,0,0,0,0
178,Autumn,0,1,1,1
179,Spring,0,1,1,0
180,Spring,1,1,1,1
181,Winter,0,1,1,1
182,Autumn,0,1,1,1
183,Autumn,1,1,1,1
184,Autumn,0,0,0,0
185,Spring,0,0,0,1
186,Summer,1,1,1,1
187,Autumn,1,0,1,1
188,Autumn,1,0,1,1
189,Autumn,0,0,0,0
190,Autumn,1,1,1,0
191,Winter,0,1,1,1
192,Winter,0,0,0,0
193,Spring,0,0,0,0
194,Autumn,1,1,1,0
195,Winter,0,0,0,0
196,Summer,1,0,1,1
197,Summer,1,1,1,1
198,Autumn,0,0,0,0
199,Spring,0,1,1,1
200,Autumn,1,1,1,1
201,Spring,0,1,1,1
202,Autumn,1,0,1,1
203,Summer,1,0,1,1
204,Summer,0,0,0,0
205,Summer,1,0,1,0
206,Autumn,0,1,1,1
207,Summer,1,1,1,1
208,Summer,1,0,1,1
209,Spring,0,1,1,1
210,Autumn,0,1,1,1
211,Spring,0,1,1,1
212,Winter,0,1,1,1
213,Summer,1,0,1,1
214,Spring,0,0,0,1
215,Summer,1,1,1,1
216,Summer,1,0,1,1
217,Winter,0,1,1,1
218,Spring,0,1,1,1
219,Summer,1,0,1,1
220,Winter,0,0,0,0
221,Summer,1,1,1,1
222,Summer,0,0,0,1
223,Autumn,0,0,0,0
224,Summer,0,0,0,0
225,Spring,0,0,0,0
226,Spring,0,0,0,1
227,Winter,0,0,0,0
228,Autumn,1,0,1,0
229,Summer,0,1,1,0
230,Spring,1,1,1,1
231,Winter,0,0,0,0
232,Winter,0,0,0,0
233,Spring,1,1,1,0
234,Winter,0,1,1,1
235,Summer,1,0,1,1
236,Autumn,0,0,0,1
237,Winter,0,0,0,0
238,Summer,1,0,1,1
239,Summer,1,0,1,1
240,Spring,1,1,1,1
241,Summer,1,0,1,1
242,Spring,0,1,1,1
243,Summer,1,0,1,0
244,Spring,0,0,0,0
245,Summer,0,1,1,1
246,Winter,0,0,0,0
247,Summer,1,0,1,1
248,Summer,0,0,0,0
249,Winter,0,1,1,1
250,Summer,1,0,1,1
251,Spring,1,1,1,1
252,Autumn,0,1,1,1
253,Summer,1,0,1,1
254,Winter,0,0,0,0
255,Spring,0,0,0,0
256,Spring,0,1,1,1
257,Autumn,0,0,0,0
258,Summer,0,1,1,1
259,Winter,0,0,0,0
260,Spring,1,1,1,1
261,Autumn,0,1,1,1
262,Autumn,0,1,1,0
263,Autumn,0,1,1,1
264,Spring,0,0,0,0
265,Summer,1,0,1,1
266,Winter,0,0,0,1
267,Winter,0,1,1,1
268,Winter,0,1,1,1
269,Summer,1,0,1,1
270,Summer,0,0,0,0
271,Summer,1,0,1,1
272,Autumn,0,0,0,0
273,Spring,1,0,1,1
